"2021-03-21T22:56:42Z","brother-doing-business-well","Brother: Doing business well","2.6386536969155303"
"2021-03-21T06:15:47Z","commentisfree","Opinion","4.262854391020328"
"2021-03-21T06:15:47Z","lifeandstyle","Life and style","0.0"
"2021-03-21T06:00:48Z","food","Food","2.3257964623575407"
"2021-03-21T06:00:48Z","lifeandstyle","Life and style","0.5619831623328019"
"2021-03-21T06:00:48Z","tv-and-radio","Television & radio","1.9481993526494477"
"2021-03-21T06:00:48Z","food","Food","1.1308198619604235"
"2021-03-21T06:00:47Z","society","Society","2.5552874465497997"
"2021-03-21T06:00:47Z","commentisfree","Opinion","1.6780169802976324"
"2021-03-21T06:00:47Z","theobserver","From the Observer","2.761186456387748"
"2021-03-21T06:00:47Z","news","News","0.0"
"2021-03-21T06:00:47Z","us-news","US news","2.6282911800757986"
"2021-03-21T06:00:47Z","us-news","US news","2.436093207880232"
"2021-03-21T06:00:46Z","books","Books","1.1073547787826283"
"2021-03-21T05:39:34Z","world","World news","2.214363904975405"
"2021-03-21T05:00:45Z","commentisfree","Opinion","1.6855846212776706"
"2021-03-21T05:00:45Z","commentisfree","Opinion","3.5962430016773363"
"2021-03-21T02:39:55Z","sport","Sport","1.5596265632882091"
"2021-03-21T01:55:01Z","australia-news","Australia news","1.46207811857386"
"2021-03-21T00:34:23Z","world","World news","4.851141727940325"
"2021-03-21T00:25:56Z","sport","Sport","2.2139914371932865"
"2021-03-21T00:05:39Z","business","Business","2.6963071736985667"
"2021-03-21T00:01:39Z","crosswords","Crosswords","0.0"
"2021-03-21T00:01:39Z","lifeandstyle","Life and style","0.0"
"2021-03-21T00:01:39Z","lifeandstyle","Life and style","0.0"
"2021-03-21T00:00:39Z","crosswords","Crosswords","0.0"
"2021-03-21T00:00:39Z","crosswords","Crosswords","0.0"
