"2020-10-21T12:53:13Z","gnm-press-office","GNM press office","0.6196992744367893"
"2020-10-21T12:47:19Z","uk-news","UK news","3.1542689253245033"
"2020-10-21T12:26:10Z","business","Business","1.792950938450383"
"2020-10-21T12:20:03Z","world","World news","2.5441365051370832"
"2020-10-21T12:15:07Z","politics","Politics","4.25676496469876"
"2020-10-21T12:00:09Z","film","Film","0.5480792153070063"
"2020-10-21T11:59:42Z","commentisfree","Opinion","1.2407512364254225"
"2020-10-21T11:53:59Z","education","Education","4.083883948912718"
"2020-10-21T11:53:39Z","football","Football","3.5318520669535043"
"2020-10-21T11:33:38Z","commentisfree","Opinion","4.110873864173311"
"2020-10-21T11:30:23Z","football","Football","2.1214377464118623"
"2020-10-21T11:17:39Z","politics","Politics","2.9023356133092673"
"2020-10-21T11:14:47Z","music","Music","1.872285852848143"
"2020-10-21T11:09:27Z","world","World news","1.0946282196532353"
"2020-10-21T11:06:41Z","science","Science","3.061828897936965"
"2020-10-21T11:00:23Z","food","Food","1.5299498025105736"
"2020-10-21T11:00:22Z","us-news","US news","0.9916333318597327"
"2020-10-21T11:00:22Z","film","Film","0.5603668206406455"
"2020-10-21T11:00:22Z","sport","Sport","2.5123891661649687"
"2020-10-21T11:00:22Z","books","Books","1.244608918991275"
"2020-10-21T10:55:24Z","australia-news","Australia news","1.4111760274966274"
"2020-10-21T10:40:59Z","politics","Politics","3.0027839182880602"
"2020-10-21T10:36:28Z","books","Books","0.9826558328583536"
"2020-10-21T10:30:21Z","food","Food","0.9171916779283898"
"2020-10-21T10:27:35Z","environment","Environment","2.208413505254025"
"2020-10-21T10:25:21Z","commentisfree","Opinion","1.8941744746561247"
"2020-10-21T10:22:58Z","sport","Sport","0.45407280717354115"
"2020-10-21T10:18:30Z","environment","Environment","1.5087612460887003"
"2020-10-21T10:15:50Z","us-news","US news","2.423388917873388"
"2020-10-21T10:11:21Z","fashion","Fashion","1.6218186384685358"
"2020-10-21T10:09:52Z","business","Business","2.236076201124014"
"2020-10-21T10:02:15Z","society","Society","4.429114670772783"
"2020-10-21T10:02:03Z","society","Society","4.476842621238596"
"2020-10-21T10:00:21Z","us-news","US news","3.9537453480118003"
"2020-10-21T10:00:21Z","tv-and-radio","Television & radio","1.485680031636558"
"2020-10-21T09:56:24Z","animals-farmed","Animals farmed","3.0462960381528794"
"2020-10-21T09:53:00Z","commentisfree","Opinion","4.769874979408896"
"2020-10-21T09:44:58Z","world","World news","2.3146185358173095"
"2020-10-21T09:44:12Z","uk-news","UK news","1.1035252060979233"
"2020-10-21T09:33:35Z","music","Music","4.050502948800615"
"2020-10-21T09:17:20Z","australia-news","Australia news","2.678863107244799"
"2020-10-21T09:11:07Z","business","Business","2.617434865602093"
"2020-10-21T09:00:17Z","business","Business","3.2404973757379687"
"2020-10-21T09:00:17Z","us-news","US news","1.0377369974491202"
"2020-10-21T09:00:17Z","football","Football","1.1853606835442672"
"2020-10-21T09:00:17Z","us-news","US news","2.303485588327296"
"2020-10-21T08:56:47Z","australia-news","Australia news","2.026326726831436"
"2020-10-21T08:55:02Z","australia-news","Australia news","3.401988625274582"
"2020-10-21T08:45:30Z","football","Football","0.8713670406232101"
"2020-10-21T08:00:30Z","commentisfree","Opinion","3.2944278826446642"
"2020-10-21T08:00:30Z","sport","Sport","2.7596864091158686"
"2020-10-21T08:00:30Z","news","News","1.7811248422384431"
"2020-10-21T08:00:30Z","money","Money","0.0"
"2020-10-21T08:00:30Z","books","Books","1.662118144934053"
"2020-10-21T07:55:29Z","australia-news","Australia news","3.49081437956733"
"2020-10-21T07:52:02Z","culture","Culture","1.410473044711844"
"2020-10-21T07:36:34Z","uk-news","UK news","3.5050086420842463"
"2020-10-21T07:30:29Z","games","Games","0.4079808327054117"
"2020-10-21T07:19:40Z","australia-news","Australia news","2.774935590249597"
"2020-10-21T07:06:22Z","australia-news","Australia news","3.9671052426215576"
"2020-10-21T07:00:30Z","stage","Stage","1.890585089389101"
"2020-10-21T07:00:30Z","society","Society","3.2306071765236846"
"2020-10-21T07:00:29Z","commentisfree","Opinion","2.476350865908296"
"2020-10-21T07:00:29Z","lifeandstyle","Life and style","2.837150437746852"
"2020-10-21T07:00:29Z","lifeandstyle","Life and style","1.3084714850325883"
"2020-10-21T07:00:29Z","football","Football","0.9601302004032047"
"2020-10-21T07:00:29Z","lifeandstyle","Life and style","1.6416679313977391"
"2020-10-21T07:00:28Z","environment","Environment","1.8866172626867321"
"2020-10-21T06:48:37Z","australia-news","Australia news","3.096424374856482"
"2020-10-21T06:43:54Z","commentisfree","Opinion","0.0"
"2020-10-21T06:30:28Z","books","Books","1.6852266204934054"
"2020-10-21T06:20:38Z","commentisfree","Opinion","2.7963428082478887"
"2020-10-21T06:15:28Z","global-development","Global development","2.2552719591429695"
"2020-10-21T06:15:27Z","us-news","US news","1.2578456475391153"
"2020-10-21T06:00:29Z","society","Society","3.4730661965366414"
"2020-10-21T06:00:29Z","artanddesign","Art and design","1.98640864111952"
"2020-10-21T06:00:28Z","education","Education","3.216957819005698"
"2020-10-21T06:00:28Z","world","World news","1.8209935468280023"
"2020-10-21T06:00:28Z","commentisfree","Opinion","2.684279413294006"
"2020-10-21T06:00:28Z","commentisfree","Opinion","3.2860583007580524"
"2020-10-21T06:00:27Z","politics","Politics","2.3894962054621924"
