"2020-09-23T23:56:15Z","commonwealth-bank-australia-next-chapter","Commonwealth Bank Australia: Next Chapter","4.152591965378842"
"2020-09-23T16:20:03Z","world","World news","0.0"
"2020-09-23T16:15:45Z","commentisfree","Opinion","3.871297012443989"
"2020-09-23T16:12:50Z","world","World news","1.214259102866861"
"2020-09-23T16:08:43Z","business","Business","3.705160746009414"
"2020-09-23T16:05:59Z","world","World news","1.6326356156026336"
"2020-09-23T16:00:44Z","film","Film","0.0"
"2020-09-23T16:00:43Z","politics","Politics","3.3353437247304956"
"2020-09-23T15:59:18Z","football","Football","0.0"
"2020-09-23T15:58:52Z","uk-news","UK news","2.769593811345928"
"2020-09-23T15:56:20Z","commentisfree","Opinion","0.0"
"2020-09-23T15:55:32Z","stage","Stage","1.9239498070950576"
"2020-09-23T15:52:35Z","society","Society","3.7573011133534444"
"2020-09-23T15:48:32Z","environment","Environment","2.3434682981188217"
"2020-09-23T15:47:23Z","us-news","US news","3.5211704758347064"
"2020-09-23T15:41:29Z","culture","Culture","3.5181871856389226"
"2020-09-23T15:32:30Z","world","World news","0.5456266256771233"
"2020-09-23T15:32:18Z","society","Society","3.936910044735052"
"2020-09-23T15:28:36Z","culture","Culture","1.0722152561962686"
"2020-09-23T15:21:28Z","business","Business","0.8975108372225588"
"2020-09-23T15:05:43Z","uk-news","UK news","0.7739085372044039"
"2020-09-23T15:00:42Z","environment","Environment","1.2816203732843714"
