"2021-04-13T23:23:04Z","bank-australia-people-australia-needs","Bank Australia: People Australia Needs","2.107817100453931"
"2021-04-13T09:31:39Z","australia-news","Australia news","3.681712703213949"
"2021-04-13T09:00:29Z","us-news","US news","2.790105068532655"
"2021-04-13T09:00:28Z","sport","Sport","3.1122875619720523"
"2021-04-13T08:56:45Z","world","World news","1.7473436100770259"
"2021-04-13T08:38:06Z","business","Business","3.993761218480731"
"2021-04-13T08:35:49Z","business","Business","1.4945245668572824"
"2021-04-13T08:25:59Z","politics","Politics","3.8272645547460487"
"2021-04-13T08:00:28Z","global-development","Global development","4.410004591798174"
"2021-04-13T08:00:28Z","commentisfree","Opinion","1.7591832987934424"
"2021-04-13T08:00:28Z","sport","Sport","1.9699222507293286"
"2021-04-13T08:00:28Z","tv-and-radio","Television & radio","2.2579300401477886"
"2021-04-13T08:00:28Z","books","Books","0.46547352606952297"
"2021-04-13T08:00:27Z","technology","Technology","2.4797770727846116"
"2021-04-13T07:15:26Z","tv-and-radio","Television & radio","2.2822746376989413"
"2021-04-13T07:00:26Z","sport","Sport","1.2742425521705734"
"2021-04-13T07:00:26Z","sport","Sport","1.407669220704624"
"2021-04-13T06:59:30Z","business","Business","3.9705255447663146"
"2021-04-13T06:45:38Z","australia-news","Australia news","1.329135947279942"
"2021-04-13T06:26:37Z","australia-news","Australia news","2.7327233355888914"
"2021-04-13T06:26:07Z","world","World news","2.0795873886865848"
"2021-04-13T06:17:25Z","film","Film","2.0293382381400877"
"2021-04-13T06:15:25Z","global-development","Global development","3.837415948253251"
"2021-04-13T06:11:37Z","world","World news","4.040696247611585"
"2021-04-13T06:00:27Z","books","Books","1.4399801213899277"
"2021-04-13T06:00:26Z","commentisfree","Opinion","2.4167674094020355"
"2021-04-13T06:00:26Z","money","Money","3.635496078569853"
"2021-04-13T06:00:26Z","technology","Technology","2.0193067824395325"
"2021-04-13T06:00:26Z","membership","Membership","2.1409490098500727"
"2021-04-13T06:00:26Z","us-news","US news","1.897534203490219"
"2021-04-13T06:00:25Z","film","Film","1.731861327646986"
"2021-04-13T06:00:25Z","us-news","US news","3.6204487462862556"
"2021-04-13T06:00:25Z","food","Food","1.2139817192032574"
"2021-04-13T06:00:25Z","technology","Technology","2.8871428695277666"
"2021-04-13T05:43:55Z","australia-news","Australia news","5.028294669924886"
"2021-04-13T05:30:24Z","travel","Travel","0.0"
"2021-04-13T05:30:08Z","world","World news","2.8178911369159647"
"2021-04-13T05:22:29Z","football","Football","0.9735955746780144"
"2021-04-13T05:20:24Z","tv-and-radio","Television & radio","2.7269186854065928"
"2021-04-13T05:01:24Z","tv-and-radio","Television & radio","1.8987864451080854"
"2021-04-13T05:00:26Z","society","Society","4.43742641876517"
"2021-04-13T05:00:25Z","stage","Stage","1.699044396543919"
"2021-04-13T05:00:25Z","artanddesign","Art and design","1.5731174480891408"
"2021-04-13T05:00:25Z","global-development","Global development","1.5571585219208897"
"2021-04-13T05:00:25Z","news","News","3.1082382521095306"
"2021-04-13T05:00:24Z","society","Society","2.7902522002109724"
"2021-04-13T05:00:24Z","commentisfree","Opinion","2.506256770904724"
"2021-04-13T05:00:24Z","world","World news","2.399845604972957"
"2021-04-13T05:00:24Z","society","Society","4.497014518473456"
"2021-04-13T05:00:24Z","uk-news","UK news","1.4218193322822756"
"2021-04-13T05:00:24Z","world","World news","3.9821380540562843"
"2021-04-13T04:41:20Z","australia-news","Australia news","3.7195528644800526"
"2021-04-13T04:30:23Z","environment","Environment","0.0"
"2021-04-13T04:15:23Z","environment","Environment","1.7747758897871586"
"2021-04-13T04:01:22Z","environment","Environment","3.3940137055990953"
"2021-04-13T04:00:23Z","world","World news","1.7922804925295828"
"2021-04-13T04:00:22Z","world","World news","4.597616502918189"
"2021-04-13T03:56:27Z","world","World news","3.1246343354021766"
"2021-04-13T03:21:00Z","australia-news","Australia news","0.0"
"2021-04-13T02:53:37Z","world","World news","1.2032732590018504"
"2021-04-13T02:34:30Z","commentisfree","Opinion","3.9428934802400373"
"2021-04-13T02:20:32Z","australia-news","Australia news","4.807946489014272"
"2021-04-13T01:08:39Z","australia-news","Australia news","4.44825080531944"
"2021-04-13T01:00:19Z","australia-news","Australia news","2.333770744628832"
"2021-04-13T00:34:38Z","us-news","US news","3.6122395482901757"
