"2020-11-16T23:59:08Z","powershop-power-potential","Powershop: Power potential","1.5821217619833163"
"2020-11-16T09:14:38Z","world","World news","2.471362208600426"
"2020-11-16T09:10:44Z","australia-news","Australia news","3.0256717381526252"
"2020-11-16T09:07:15Z","society","Society","3.929012533085919"
"2020-11-16T09:00:01Z","film","Film","1.4850759056796743"
"2020-11-16T09:00:01Z","books","Books","1.7139106621306601"
"2020-11-16T09:00:01Z","food","Food","3.0499038579483972"
"2020-11-16T08:38:22Z","world","World news","4.744696931748997"
"2020-11-16T08:24:10Z","australia-news","Australia news","3.4178821414802787"
"2020-11-16T08:00:02Z","football","Football","1.1296213410817106"
"2020-11-16T08:00:02Z","commentisfree","Opinion","4.32730417407816"
"2020-11-16T08:00:02Z","us-news","US news","1.8690994725537065"
"2020-11-16T08:00:01Z","us-news","US news","2.017112268718727"
"2020-11-16T07:50:13Z","world","World news","3.6066464761915564"
"2020-11-16T07:43:07Z","australia-news","Australia news","4.912996544149298"
"2020-11-16T07:41:27Z","australia-news","Australia news","2.3904420866781333"
"2020-11-16T07:38:30Z","australia-news","Australia news","4.152772075227663"
"2020-11-16T07:32:01Z","film","Film","0.9956506126177808"
"2020-11-16T07:30:01Z","global-development","Global development","2.0892070879498843"
"2020-11-16T07:19:00Z","australia-news","Australia news","2.2321983376428176"
"2020-11-16T07:15:00Z","australia-news","Australia news","4.304995653722502"
"2020-11-16T07:10:08Z","science","Science","1.320519660991027"
"2020-11-16T07:03:05Z","commentisfree","Opinion","0.0"
"2020-11-16T07:00:04Z","money","Money","2.232353094685017"
"2020-11-16T07:00:04Z","education","Education","2.9201387180356875"
"2020-11-16T07:00:04Z","books","Books","1.2228726498646996"
"2020-11-16T07:00:04Z","money","Money","2.4497754226038375"
"2020-11-16T07:00:03Z","lifeandstyle","Life and style","0.5331106685554257"
"2020-11-16T07:00:03Z","environment","Environment","1.8036635380964148"
"2020-11-16T07:00:03Z","law","Law","1.731861327646986"
"2020-11-16T07:00:03Z","technology","Technology","2.3075501223766746"
"2020-11-16T07:00:02Z","environment","Environment","2.576632974170023"
"2020-11-16T07:00:02Z","games","Games","3.732307675141983"
"2020-11-16T07:00:02Z","environment","Environment","1.4733357712961939"
"2020-11-16T07:00:02Z","technology","Technology","2.569155462505811"
"2020-11-16T07:00:02Z","environment","Environment","2.222752754702479"
"2020-11-16T07:00:01Z","world","World news","1.5898191364062317"
"2020-11-16T07:00:01Z","education","Education","3.3212709090159747"
"2020-11-16T07:00:01Z","commentisfree","Opinion","2.480974137518121"
"2020-11-16T07:00:00Z","society","Society","3.66071244336826"
"2020-11-16T07:00:00Z","environment","Environment","1.3852452789704712"
"2020-11-16T07:00:00Z","uk-news","UK news","1.7661826274384054"
"2020-11-16T06:58:50Z","business","Business","1.6687826678915392"
"2020-11-16T06:39:46Z","sport","Sport","2.50985869940149"
"2020-11-16T06:30:02Z","travel","Travel","3.056962343130407"
"2020-11-16T06:30:02Z","environment","Environment","2.371549181911719"
