"2021-02-11T10:00:44Z","sport","Sport","0.47793775692115553"
"2021-02-11T09:46:04Z","australia-news","Australia news","2.4761924392076153"
"2021-02-11T09:40:22Z","business","Business","2.022782845115518"
"2021-02-11T09:36:40Z","media","Media","1.6543361797991465"
"2021-02-11T09:15:07Z","us-news","US news","1.7399899232974232"
"2021-02-11T09:13:11Z","australia-news","Australia news","1.884089020894242"
"2021-02-11T09:05:09Z","football","Football","0.0"
"2021-02-11T09:00:07Z","commentisfree","Opinion","1.592735120336415"
"2021-02-11T09:00:07Z","film","Film","0.9301618482659446"
"2021-02-11T08:46:33Z","australia-news","Australia news","2.2576866532030877"
"2021-02-11T08:42:11Z","business","Business","4.744693862934437"
"2021-02-11T08:39:31Z","environment","Environment","1.4516398652575713"
"2021-02-11T08:00:07Z","sport","Sport","0.9390819863224122"
"2021-02-11T08:00:07Z","us-news","US news","2.3163736001305586"
"2021-02-11T08:00:07Z","artanddesign","Art and design","1.621384135705839"
"2021-02-11T08:00:06Z","football","Football","0.9515903519016046"
"2021-02-11T08:00:06Z","sport","Sport","1.5669442433654748"
"2021-02-11T08:00:05Z","us-news","US news","2.7823444694119726"
"2021-02-11T07:42:26Z","environment","Environment","1.1712219345561738"
"2021-02-11T07:30:05Z","global-development","Global development","1.9767033448251121"
"2021-02-11T07:30:05Z","books","Books","1.3773612992344153"
"2021-02-11T07:30:05Z","books","Books","2.445594608263497"
"2021-02-11T07:28:23Z","australia-news","Australia news","4.039529219070614"
"2021-02-11T07:28:05Z","film","Film","1.3903077444333491"
"2021-02-11T07:01:04Z","environment","Environment","1.5449567549452008"
"2021-02-11T07:01:04Z","environment","Environment","0.8442618049241722"
"2021-02-11T07:00:31Z","australia-news","Australia news","2.80099827401606"
"2021-02-11T07:00:06Z","film","Film","0.9214212697616084"
"2021-02-11T07:00:05Z","lifeandstyle","Life and style","2.3311107091183123"
"2021-02-11T07:00:05Z","environment","Environment","1.5282513498452008"
"2021-02-11T07:00:05Z","books","Books","2.2232423050641743"
"2021-02-11T07:00:05Z","commentisfree","Opinion","2.9968186397662118"
"2021-02-11T06:59:35Z","australia-news","Australia news","4.767604150360743"
"2021-02-11T06:30:04Z","travel","Travel","1.4103392353738937"
"2021-02-11T06:30:04Z","global-development","Global development","4.120021414851256"
"2021-02-11T06:26:32Z","world","World news","3.4977871521721053"
"2021-02-11T06:20:03Z","tv-and-radio","Television & radio","0.5037278021695618"
"2021-02-11T06:01:03Z","business","Business","3.4333422650870924"
"2021-02-11T06:01:03Z","environment","Environment","3.8502210087767454"
"2021-02-11T06:00:04Z","society","Society","4.123040864532691"
"2021-02-11T06:00:04Z","us-news","US news","2.216602346302554"
"2021-02-11T06:00:04Z","world","World news","1.4580588758240556"
"2021-02-11T06:00:03Z","world","World news","3.4272555001470804"
"2021-02-11T06:00:03Z","environment","Environment","2.789149308897466"
"2021-02-11T05:55:09Z","australia-news","Australia news","0.5407882947974493"
"2021-02-11T05:30:02Z","environment","Environment","0.0"
"2021-02-11T05:15:02Z","science","Science","1.5690910901727266"
"2021-02-11T05:01:02Z","us-news","US news","4.193115820324221"
"2021-02-11T05:00:02Z","world","World news","0.44827607353997145"
"2021-02-11T04:43:49Z","australia-news","Australia news","1.7439970976698025"
"2021-02-11T04:36:57Z","australia-news","Australia news","3.5209103646842776"
"2021-02-11T04:29:52Z","world","World news","1.2139817192032574"
"2021-02-11T04:24:26Z","sport","Sport","0.7770691840001234"
"2021-02-11T04:11:32Z","world","World news","1.4779831631560119"
"2021-02-11T04:08:59Z","culture","Culture","2.2302172604905683"
"2021-02-11T03:57:18Z","australia-news","Australia news","4.680886671892015"
"2021-02-11T03:35:35Z","technology","Technology","3.6046454536687063"
"2021-02-11T03:18:08Z","australia-news","Australia news","2.168219522879692"
"2021-02-11T02:10:13Z","us-news","US news","1.5502973373901607"
"2021-02-11T01:56:57Z","us-news","US news","3.2138625559244924"
"2021-02-11T01:32:06Z","tv-and-radio","Television & radio","1.1819537058926772"
"2021-02-11T01:13:53Z","world","World news","1.4041825640804564"
"2021-02-11T01:07:49Z","sport","Sport","1.6523842312573567"
"2021-02-11T01:05:00Z","sport","Sport","0.5682135445495318"
"2021-02-11T01:01:03Z","sport","Sport","2.907321316209938"
"2021-02-11T01:00:57Z","society","Society","3.1587428854348585"
"2021-02-11T00:30:56Z","sport","Sport","2.9603042370757153"
"2021-02-11T00:15:47Z","us-news","US news","0.45491338352214566"
"2021-02-11T00:09:20Z","world","World news","4.839398704511699"
"2021-02-11T00:06:38Z","belvoir-stop-girl","Belvoir: Stop Girl","2.19391292439834"
"2021-02-11T00:01:56Z","society","Society","2.6858414003615403"
"2021-02-11T00:01:56Z","sport","Sport","1.320519660991027"
"2021-02-11T00:01:29Z","business","Business","2.2160421509262354"
"2021-02-11T00:00:56Z","crosswords","Crosswords","0.0"
"2021-02-11T00:00:56Z","crosswords","Crosswords","0.0"
"2021-02-11T00:00:56Z","society","Society","4.721111191541945"
