"2021-03-07T07:21:25Z","education","Education","2.298864993777244"
"2021-03-07T07:18:04Z","film","Film","1.0364830991309857"
"2021-03-07T07:15:55Z","environment","Environment","2.221774546748259"
"2021-03-07T07:11:49Z","sport","Sport","1.8736176085651"
"2021-03-07T07:01:55Z","business","Business","1.039624048151085"
"2021-03-07T07:00:56Z","books","Books","2.2909680234591194"
"2021-03-07T07:00:55Z","us-news","US news","2.940575431409427"
"2021-03-07T07:00:55Z","uk-news","UK news","2.2169268485558247"
"2021-03-07T06:56:22Z","uk-news","UK news","2.0988137515580507"
"2021-03-07T06:53:18Z","books","Books","1.1931737503994477"
"2021-03-07T06:50:10Z","theobserver","From the Observer","3.2503518747849074"
"2021-03-07T06:48:13Z","artanddesign","Art and design","1.8981832492072115"
"2021-03-07T06:44:55Z","music","Music","1.9620983730650239"
"2021-03-07T06:44:17Z","artanddesign","Art and design","1.4001400066737717"
"2021-03-07T06:40:09Z","lifeandstyle","Life and style","1.179867922819515"
"2021-03-07T06:39:49Z","uk-news","UK news","1.4503056758439443"
"2021-03-07T06:16:05Z","science","Science","1.6448463016301738"
"2021-03-07T06:15:54Z","lifeandstyle","Life and style","0.0"
"2021-03-07T06:15:54Z","theobserver","From the Observer","3.4982119862807783"
"2021-03-07T06:13:36Z","books","Books","1.6498307928160327"
"2021-03-07T06:12:27Z","lifeandstyle","Life and style","0.50685736459037"
"2021-03-07T06:10:42Z","commentisfree","Opinion","3.554354564297869"
"2021-03-07T06:05:54Z","commentisfree","Opinion","1.97723927763111"
"2021-03-07T06:00:56Z","lifeandstyle","Life and style","0.5665602602882337"
"2021-03-07T06:00:56Z","food","Food","1.3699135456981677"
"2021-03-07T06:00:56Z","food","Food","1.076872302031704"
"2021-03-07T06:00:56Z","tv-and-radio","Television & radio","0.0"
"2021-03-07T06:00:56Z","travel","Travel","1.8167745523643744"
"2021-03-07T06:00:55Z","theobserver","From the Observer","2.4931971130494452"
"2021-03-07T06:00:55Z","us-news","US news","1.9694167450350057"
"2021-03-07T06:00:55Z","commentisfree","Opinion","2.2266775210201604"
"2021-03-07T06:00:54Z","world","World news","1.8189350546070198"
"2021-03-07T06:00:54Z","commentisfree","Opinion","2.900207346766803"
"2021-03-07T06:00:54Z","us-news","US news","1.877962578752632"
"2021-03-07T06:00:54Z","commentisfree","Opinion","2.115250994376547"
"2021-03-07T05:45:54Z","travel","Travel","1.7242467394470675"
"2021-03-07T04:42:11Z","world","World news","3.4650158262915247"
"2021-03-07T04:29:46Z","australia-news","Australia news","1.2599520720678372"
"2021-03-07T03:34:22Z","australia-news","Australia news","1.887409121156492"
"2021-03-07T03:21:57Z","music","Music","1.489405640497846"
"2021-03-07T02:45:25Z","sport","Sport","1.2903830787271353"
"2021-03-07T02:41:50Z","politics","Politics","2.094014552950642"
"2021-03-07T01:44:06Z","australia-news","Australia news","2.970797094233256"
"2021-03-07T01:31:33Z","world","World news","4.535708688708801"
"2021-03-07T00:05:47Z","business","Business","1.6863523943002696"
"2021-03-07T00:01:47Z","crosswords","Crosswords","0.0"
"2021-03-07T00:01:47Z","lifeandstyle","Life and style","0.0"
"2021-03-07T00:01:47Z","lifeandstyle","Life and style","0.0"
"2021-03-07T00:00:47Z","crosswords","Crosswords","0.0"
"2021-03-07T00:00:47Z","news","News","3.279372642990935"
