"2020-02-11T23:35:02Z","members-health-fund-alliance-health-before-profit","Members Health Fund Alliance: Health before profit","3.8411466057782864"
"2020-02-11T06:00:00Z","global-development","Global development","3.0182397159242282"
"2020-02-11T06:00:00Z","music","Music","0.45302651930710347"
"2020-02-11T06:00:00Z","law","Law","2.828015902196667"
"2020-02-11T05:59:00Z","tv-and-radio","Television & radio","2.67382284830196"
"2020-02-11T05:59:00Z","society","Society","2.3968419204073"
"2020-02-11T05:58:34Z","world","World news","3.521520031116563"
"2020-02-11T05:40:58Z","australia-news","Australia news","2.4517460776826767"
"2020-02-11T05:30:01Z","environment","Environment","0.0"
"2020-02-11T04:35:09Z","sport","Sport","1.4810381291277073"
"2020-02-11T04:01:04Z","us-news","US news","1.218492888218753"
"2020-02-11T03:44:20Z","world","World news","0.5438018920076256"
"2020-02-11T03:43:40Z","australia-news","Australia news","1.847512853823324"
"2020-02-11T03:22:24Z","world","World news","1.8544104341897223"
"2020-02-11T03:01:31Z","australia-news","Australia news","0.0"
"2020-02-11T02:09:34Z","australia-news","Australia news","1.7473436100770259"
"2020-02-11T02:06:26Z","culture","Culture","0.3894647667617233"
"2020-02-11T02:01:36Z","australia-news","Australia news","3.4001539637946068"
"2020-02-11T01:56:38Z","world","World news","3.1265355893842584"
"2020-02-11T01:38:04Z","uk-news","UK news","2.7047710209391647"
"2020-02-11T01:05:44Z","us-news","US news","2.6163412663159096"
"2020-02-11T00:23:25Z","film","Film","0.5398908751774225"
"2020-02-11T00:08:20Z","world","World news","3.4867515640994218"
"2020-02-11T00:03:25Z","politics","Politics","1.9413526022375291"
"2020-02-11T00:01:49Z","politics","Politics","2.1129642337184795"
"2020-02-11T00:01:49Z","business","Business","1.1909107669025962"
"2020-02-11T00:01:49Z","stage","Stage","1.8485765203668223"
"2020-02-11T00:01:48Z","world","World news","2.017112268718727"
"2020-02-11T00:00:49Z","crosswords","Crosswords","0.0"
"2020-02-11T00:00:49Z","crosswords","Crosswords","0.0"
