"2021-11-07T10:00:17Z","science","Science","3.585499870486149"
"2021-11-07T10:00:16Z","law","Law","2.4963422243024707"
"2021-11-07T10:00:16Z","commentisfree","Opinion","1.235533893534976"
"2021-11-07T10:00:16Z","society","Society","2.406301140581738"
"2021-11-07T10:00:16Z","environment","Environment","2.1014606781470526"
"2021-11-07T10:00:15Z","culture","Culture","1.7783447597552988"
"2021-11-07T10:00:15Z","theobserver","From the Observer","3.9885270265953006"
"2021-11-07T09:45:15Z","politics","Politics","2.5291734937885204"
"2021-11-07T09:37:24Z","politics","Politics","1.0876231670925147"
"2021-11-07T09:30:15Z","sport","Sport","1.5764433902990618"
"2021-11-07T09:30:15Z","commentisfree","Opinion","1.758741228553661"
"2021-11-07T09:30:15Z","culture","Culture","1.0933072364384164"
"2021-11-07T09:30:15Z","tv-and-radio","Television & radio","2.2019794154178345"
"2021-11-07T09:30:14Z","lifeandstyle","Life and style","0.0"
"2021-11-07T09:15:14Z","environment","Environment","2.322233112992453"
"2021-11-07T09:00:15Z","music","Music","0.0"
"2021-11-07T09:00:15Z","food","Food","0.9574850487271381"
"2021-11-07T09:00:15Z","commentisfree","Opinion","2.213279846952692"
"2021-11-07T09:00:15Z","stage","Stage","1.1619604969791537"
"2021-11-07T09:00:14Z","environment","Environment","1.3754432698842367"
"2021-11-07T09:00:14Z","books","Books","3.326137271571528"
"2021-11-07T09:00:14Z","world","World news","2.0119934128591024"
"2021-11-07T09:00:14Z","money","Money","2.1299293681136224"
"2021-11-07T09:00:14Z","artanddesign","Art and design","1.8285676135032218"
"2021-11-07T08:45:14Z","society","Society","2.5933707709112435"
"2021-11-07T08:45:14Z","commentisfree","Opinion","3.5943989400119096"
"2021-11-07T08:35:43Z","sport","Sport","1.0946282196532353"
"2021-11-07T08:30:14Z","commentisfree","Opinion","2.9713636825370333"
"2021-11-07T08:30:14Z","lifeandstyle","Life and style","1.9244039438343499"
"2021-11-07T08:30:13Z","music","Music","0.8172314342930578"
"2021-11-07T08:15:13Z","society","Society","4.028580915749351"
"2021-11-07T08:15:13Z","lifeandstyle","Life and style","0.8175845327889607"
"2021-11-07T08:00:15Z","stage","Stage","2.6019666091572575"
"2021-11-07T08:00:15Z","lifeandstyle","Life and style","1.1464733263626268"
"2021-11-07T08:00:14Z","us-news","US news","2.028741045829693"
"2021-11-07T08:00:14Z","technology","Technology","4.0368989181732005"
"2021-11-07T08:00:14Z","environment","Environment","2.7215944262099674"
"2021-11-07T08:00:14Z","us-news","US news","3.67841866617266"
"2021-11-07T08:00:14Z","film","Film","1.6289190480059228"
"2021-11-07T08:00:13Z","culture","Culture","0.0"
"2021-11-07T08:00:13Z","society","Society","3.063481985305464"
"2021-11-07T08:00:13Z","commentisfree","Opinion","2.2747160886089492"
"2021-11-07T07:30:12Z","commentisfree","Opinion","2.8749226505942533"
"2021-11-07T07:30:12Z","world","World news","2.049668657327734"
"2021-11-07T07:30:04Z","culture","Culture","1.4367120718683606"
"2021-11-07T07:15:12Z","law","Law","3.3302779335330603"
"2021-11-07T07:00:13Z","books","Books","1.0411035130086248"
"2021-11-07T07:00:13Z","commentisfree","Opinion","1.6094379124341003"
"2021-11-07T07:00:13Z","artanddesign","Art and design","1.3932722300740439"
"2021-11-07T07:00:13Z","books","Books","0.695656592165371"
"2021-11-07T07:00:12Z","politics","Politics","3.2106565350532787"
"2021-11-07T07:00:12Z","politics","Politics","3.0572156481287096"
"2021-11-07T07:00:12Z","film","Film","1.7235258546451344"
"2021-11-07T07:00:11Z","business","Business","0.8340600773164448"
"2021-11-07T06:45:11Z","lifeandstyle","Life and style","2.2874265325632046"
"2021-11-07T06:45:11Z","uk-news","UK news","1.9102053523117666"
"2021-11-07T06:30:11Z","commentisfree","Opinion","2.767330984191655"
"2021-11-07T06:30:11Z","commentisfree","Opinion","1.5856406282575888"
"2021-11-07T06:30:11Z","lifeandstyle","Life and style","1.0871886143490805"
"2021-11-07T06:15:11Z","lifeandstyle","Life and style","1.388736823583537"
"2021-11-07T06:15:10Z","environment","Environment","2.3618689628269154"
"2021-11-07T06:02:57Z","australia-news","Australia news","3.884331633327907"
"2021-11-07T06:01:04Z","sport","Sport","4.351110886898429"
"2021-11-07T06:00:11Z","theobserver","From the Observer","1.8709565108892483"
"2021-11-07T06:00:11Z","news","News","1.440594813597559"
"2021-11-07T06:00:11Z","tv-and-radio","Television & radio","0.48962973321482833"
"2021-11-07T06:00:11Z","lifeandstyle","Life and style","2.16744627934373"
"2021-11-07T06:00:11Z","lifeandstyle","Life and style","0.0"
"2021-11-07T06:00:11Z","food","Food","0.0"
"2021-11-07T06:00:11Z","food","Food","0.0"
"2021-11-07T06:00:10Z","commentisfree","Opinion","2.992502909187117"
"2021-11-07T06:00:10Z","society","Society","4.717344106069669"
"2021-11-07T05:01:00Z","sport","Sport","1.3026173625452038"
"2021-11-07T05:00:09Z","commentisfree","Opinion","1.9498164040223784"
"2021-11-07T05:00:09Z","lifeandstyle","Life and style","3.2817670825386593"
"2021-11-07T04:50:36Z","sport","Sport","0.9346773581245943"
"2021-11-07T01:25:27Z","environment","Environment","2.328823717096589"
"2021-11-07T01:15:06Z","sport","Sport","1.0283354452521423"
"2021-11-07T01:02:03Z","sport","Sport","1.2411962028581405"
"2021-11-07T00:55:41Z","world","World news","2.0315861971945153"
"2021-11-07T00:05:03Z","business","Business","1.3821090037396973"
"2021-11-07T00:00:04Z","crosswords","Crosswords","0.0"
"2021-11-07T00:00:03Z","lifeandstyle","Life and style","0.0"
"2021-11-07T00:00:03Z","crosswords","Crosswords","0.0"
"2021-11-07T00:00:03Z","lifeandstyle","Life and style","0.0"
